title,category,description
Python Basics,Programming,Learn Python programming
Advanced Python,Programming,Object oriented and advanced Python
Machine Learning,AI,Learn machine learning concepts
Deep Learning,AI,Neural network based learning
Natural Language Processing,AI,Text analysis and NLP
Data Science,AI,Analyze and visualize data
Data Analytics,AI,Business data analysis
Web Development,Programming,Build websites using HTML CSS JS
Frontend Development,Programming,Responsive user interface design
Backend Development,Programming,Server side web development
Cyber Security,Security,Network and system protection
Ethical Hacking,Security,Penetration testing and security auditing
Cloud Computing,Cloud,Cloud services and deployment
AWS Fundamentals,Cloud,Amazon cloud platform services
DevOps,Cloud,Automation and CI CD pipelines
SQL Database,Database,Database design and querying
MongoDB,Database,NoSQL database development
